person_id,last_name,first_name,position,height_inches,weight_lbs,min,pts,fg_pct,reb,ast,blk,stl
1718,Pierce,Paul,Forward,79,235,26.2,11.9,0.447,4.0,2.0,0.3,0.6
203486,Plumlee,Mason,Center,83,235,21.3,8.7,0.573,6.2,0.9,0.8,0.8
203101,Plumlee,Miles,Center,83,255,16.4,4.0,0.535,4.4,0.5,0.9,0.6
202347,Pondexter,Quincy,Forward,79,220,23.9,7.2,0.421,2.6,1.3,0.3,0.3
203490,Porter,Otto,Forward,80,198,19.4,6.0,0.45,3.0,0.9,0.4,0.6
203515,Pressey,Phil,Guard,71,175,12.0,3.5,0.368,1.6,2.3,0.1,0.6
201985,Price,A.J.,,,"",12.4,5.1,0.372,1.2,1.8,0.0,0.3
101179,Price,Ronnie,Guard,74,190,22.8,5.1,0.345,1.6,3.8,0.1,1.6
203143,Prigioni,Pablo,Guard,75,185,17.9,4.1,0.399,1.8,2.6,0.0,1.2
2419,Prince,Tayshaun,Forward,81,215,24.1,7.5,0.44,3.6,1.6,0.3,0.5
2216,Randolph,Zach,Forward,81,260,32.4,16.1,0.487,10.5,2.2,0.2,1.0
200755,Redick,JJ,Guard,76,190,30.9,16.4,0.477,2.1,1.8,0.1,0.5
2557,Ridnour,Luke,Guard,74,175,14.5,4.0,0.426,1.4,2.0,0.1,0.4
203085,Rivers,Austin,Guard,76,200,20.6,7.0,0.409,2.0,2.0,0.2,0.6
203460,Roberson,Andre,Guard,79,210,19.2,3.4,0.458,3.8,1.0,0.4,0.8
203148,Roberts,Brian,Guard,73,173,18.5,6.7,0.389,1.5,2.3,0.1,0.5
101126,Robinson,Nate,,,"",14.1,5.7,0.345,1.2,2.3,0.1,0.5
203080,Robinson,Thomas,Forward,82,237,14.8,5.7,0.485,5.6,0.6,0.4,0.6
200765,Rondo,Rajon,Guard,73,186,29.7,8.9,0.426,5.5,7.9,0.1,1.3
201565,Rose,Derrick,Guard,75,190,30.0,17.7,0.405,3.2,4.9,0.3,0.7
203082,Ross,Terrence,Forward,79,195,25.5,9.8,0.41,2.8,1.0,0.3,0.6
201937,Rubio,Ricky,Guard,76,192,31.5,10.3,0.356,5.7,8.8,0.0,1.7
204014,Rudez,Damjan,Forward,82,200,15.4,4.8,0.452,0.7,0.8,0.1,0.2
203135,Sacre,Robert,Center,84,270,16.9,4.6,0.412,3.5,0.8,0.6,0.4
2422,Salmons,John,,,"",12.8,2.0,0.333,1.0,0.6,0.2,0.4
203960,Sampson,JaKarr,Guard,81,214,15.3,5.2,0.422,2.2,1.0,0.4,0.5
202336,Sanders,Larry,,,"",21.7,7.3,0.5,6.1,0.9,1.4,1.0
203471,Schroder,Dennis,Guard,73,168,19.7,10.0,0.427,2.1,4.1,0.1,0.6
2449,Scola,Luis,Forward,81,240,20.5,9.4,0.467,6.5,1.3,0.2,0.6
203118,Scott,Mike,Forward,80,237,16.5,7.8,0.444,2.9,1.1,0.0,0.4
200757,Sefolosha,Thabo,Forward,79,222,18.8,5.3,0.418,4.3,1.4,0.4,1.0
202338,Seraphin,Kevin,Center,82,278,15.6,6.6,0.513,3.6,0.7,0.7,0.1
201196,Sessions,Ramon,Guard,75,190,18.6,6.3,0.374,2.3,2.8,0.0,0.5
202697,Shumpert,Iman,Guard,77,220,24.9,8.0,0.41,3.6,2.2,0.3,1.3
203144,Shved,Alexey,Guard,78,187,18.3,10.3,0.397,2.4,2.5,0.1,0.7
203156,Sims,Henry,Center,82,248,19.2,8.0,0.474,4.9,1.1,0.4,0.5
202713,Singler,Kyle,Forward,80,228,21.8,6.0,0.386,2.4,1.1,0.3,0.6
202388,Sloan,Donald,Guard,75,205,20.9,7.4,0.408,2.7,3.6,0.0,0.4
203935,Smart,Marcus,Guard,76,220,27.0,7.8,0.367,3.3,3.1,0.3,1.5
202397,Smith,Ish,Guard,72,175,15.1,6.1,0.39,1.8,3.3,0.1,0.7
2747,Smith,J.R.,Guard,78,225,29.7,12.1,0.417,3.1,2.8,0.3,1.2
201160,Smith,Jason,Forward,84,245,21.8,8.0,0.434,4.0,1.7,0.5,0.4
2746,Smith,Josh,Forward,81,225,27.7,12.4,0.419,6.4,3.3,1.4,1.0
203503,Snell,Tony,Forward,79,200,19.6,6.0,0.429,2.4,0.9,0.2,0.4
201578,Speights,Marreese,Center,82,255,15.9,10.4,0.492,4.3,0.9,0.4,0.3
201168,Splitter,Tiago,Forward,83,245,19.8,8.2,0.558,4.8,1.5,0.7,0.7
203917,Stauskas,Nik,Guard,78,205,15.4,4.4,0.365,1.2,0.9,0.2,0.3
202362,Stephenson,Lance,Guard,77,230,25.8,8.2,0.376,4.5,3.9,0.1,0.6
2405,Stoudemire,Amar'e,Forward,82,245,21.1,11.5,0.557,5.6,0.8,0.6,0.5
201155,Stuckey,Rodney,Guard,77,205,26.4,12.6,0.44,3.5,3.1,0.1,0.8
